temperature,humidity,rainfall,farm_size,soil_type,season,recommended_crop
22,80,180,2,Clay,Rainy,Rice
23,78,170,3,Clay,Rainy,Rice
24,75,160,4,Clay,Rainy,Rice
25,70,120,5,Loamy,Rainy,Maize
26,68,110,6,Loamy,Rainy,Maize
27,65,100,5,Loamy,Rainy,Maize
28,60,80,4,Sandy,Dry,Sorghum
29,58,70,6,Sandy,Dry,Sorghum
30,55,60,7,Sandy,Dry,Sorghum
24,72,140,3,Loamy,Rainy,Beans
25,70,130,4,Loamy,Rainy,Beans
26,68,120,5,Loamy,Rainy,Beans
27,62,90,5,Sandy,Dry,Millet
28,60,85,6,Sandy,Dry,Millet
29,58,80,7,Sandy,Dry,Millet
20,85,200,2,Clay,Rainy,Rice
21,83,195,3,Clay,Rainy,Rice
22,81,185,4,Clay,Rainy,Rice
23,79,175,5,Clay,Rainy,Rice
24,77,165,6,Clay,Rainy,Rice
25,74,150,5,Loamy,Rainy,Maize
26,72,140,4,Loamy,Rainy,Maize
27,69,130,5,Loamy,Rainy,Maize
28,66,115,6,Loamy,Rainy,Maize
29,63,95,6,Sandy,Dry,Sorghum
30,60,85,5,Sandy,Dry,Sorghum
31,58,75,7,Sandy,Dry,Sorghum
26,70,125,4,Loamy,Rainy,Beans
27,68,118,5,Loamy,Rainy,Beans
28,66,112,6,Loamy,Rainy,Beans
27,61,88,4,Sandy,Dry,Millet
28,59,82,5,Sandy,Dry,Millet
29,57,76,6,Sandy,Dry,Millet
